Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 05:00:00+00:00,50.58888695558598,52.367962735611364,50.54609039191968,52.04598617553711,30652000,0.0,0.0
2019-01-03 05:00:00+00:00,51.80463025357511,52.5998634737991,50.464477396490224,50.56351089477539,36822000,0.0,0.0
2019-01-04 05:00:00+00:00,51.3861137044694,53.28959643226775,51.12873064353357,53.28312683105469,41878000,0.0,0.0
2019-01-07 05:00:00+00:00,53.32244046253062,53.44685119445593,52.489384409509626,53.16767120361328,39638000,0.0,0.0
2019-01-08 05:00:00+00:00,53.551855098847795,53.97236399574288,52.77652805710788,53.5603141784668,35298000,0.0,0.0
2019-01-09 05:00:00+00:00,53.827545513268085,53.87631430555803,53.06863932043999,53.47969436645508,23986000,0.0,0.0
2019-01-10 05:00:00+00:00,53.13134375200447,53.305020646191565,52.63619147340391,53.26421356201172,29128000,0.0,0.0
2019-01-11 05:00:00+00:00,52.90840104245364,52.93801161666393,52.17686533319072,52.610313415527344,30416000,0.0,0.0
2019-01-14 05:00:00+00:00,52.09923634164547,52.32864901241505,51.81732270418382,51.98826217651367,22886000,0.0,0.0
2019-01-15 05:00:00+00:00,52.26096750463522,53.74792408518102,52.12013598092055,53.603607177734375,29272000,0.0,0.0
2019-01-16 05:00:00+00:00,53.74544118674608,54.36127588569671,53.712595808880074,53.7937126159668,26636000,0.0,0.0
2019-01-17 05:00:00+00:00,53.71906074694211,54.332655331019346,53.42196785653767,54.238101959228516,24854000,0.0,0.0
2019-01-18 05:00:00+00:00,54.740724508380026,55.15635463066236,54.28786760138779,54.65413284301758,39112000,0.0,0.0
2019-01-22 05:00:00+00:00,54.14355443383679,54.318226076435785,52.92283482055962,53.27367401123047,32270000,0.0,0.0
2019-01-23 05:00:00+00:00,53.61356359621066,53.99077476592538,52.73771093991808,53.52498245239258,19340000,0.0,0.0
2019-01-24 05:00:00+00:00,53.57026512327336,53.719308931387744,52.78498315567823,53.441871643066406,27226000,0.0,0.0
2019-01-25 05:00:00+00:00,53.994255523704346,54.44213490029448,53.83600468408536,54.29234313964844,22382000,0.0,0.0
2019-01-28 05:00:00+00:00,53.75091270061363,53.89473224009513,52.93925490412957,53.25177764892578,25686000,0.0,0.0
2019-01-29 05:00:00+00:00,53.38116004888183,53.50407867120258,52.54437562869261,52.781002044677734,20436000,0.0,0.0
2019-01-30 05:00:00+00:00,53.16966516846235,54.29284335731334,53.09103521571565,54.1963005065918,25596000,0.0,0.0
2019-01-31 05:00:00+00:00,54.890018894408335,55.60314057341608,54.51230655897871,55.55536651611328,30766000,0.0,0.0
2019-02-01 05:00:00+00:00,55.35779589192095,55.98482701759799,54.98406634226022,55.27568435668945,29244000,0.0,0.0
2019-02-04 05:00:00+00:00,55.37074058585406,56.37299346923828,55.18959933951908,56.37299346923828,51530000,0.0,0.0
2019-02-05 05:00:00+00:00,55.97686708017098,57.07217736071228,55.599056050923195,57.029380798339844,71044000,0.0,0.0
2019-02-06 05:00:00+00:00,56.709900198369134,57.07964704126711,55.37621688921481,55.49863815307617,42112000,0.0,0.0
2019-02-07 05:00:00+00:00,54.94774342362005,54.98158353863134,54.04402289677241,54.67652893066406,40896000,0.0,0.0
2019-02-08 05:00:00+00:00,54.09378441501398,54.686478080122896,54.0713913946061,54.4948844909668,21516000,0.0,0.0
2019-02-11 05:00:00+00:00,54.588943978132335,55.03657281530868,54.38540970978951,54.492401123046875,21304000,0.0,0.0
2019-02-12 05:00:00+00:00,55.07911786982529,55.99950971490469,55.03184118552409,55.80418395996094,32182000,0.0,0.0
2019-02-13 05:00:00+00:00,55.98433134536978,56.46903506533117,55.66136005634363,55.74396896362305,20996000,0.0,0.0
2019-02-14 05:00:00+00:00,55.638968186591576,56.145567567744685,55.26051170861164,55.819114685058594,18952000,0.0,0.0
2019-02-15 05:00:00+00:00,56.2376319631855,56.31675548548236,55.27071138766201,55.42000198364258,28996000,0.0,0.0
2019-02-19 05:00:00+00:00,55.23836485987836,55.8300637879957,55.23836485987836,55.66434860229492,20928000,0.0,0.0
2019-02-20 05:00:00+00:00,55.735509955427,55.905705262501755,55.00347688225316,55.427467346191406,21756000,0.0,0.0
2019-02-21 05:00:00+00:00,55.28016655679086,55.33490758233576,54.36848435274426,54.589935302734375,28302000,0.0,0.0
2019-02-22 05:00:00+00:00,54.78550776913382,55.30007264916632,54.52175762646254,55.256778717041016,20990000,0.0,0.0
2019-02-25 05:00:00+00:00,55.5369498953794,55.66335010538717,55.102507073369644,55.2085075378418,28262000,0.0,0.0
